Exposure,Power,DriverAge,Fuel_type,Density,Sex,Sinistre
1.0,10,50,0,50,1,0
1.0,30,54,1,13,0,0
0.55,43,74,0,67,1,0
0.7,30,20,0,5,0,0
0.6,40,20,1,16,1,1
1.0,43,29,1,67,1,0
1.0,40,63,1,13,0,0
0.84,43,24,0,295,0,0
0.84,43,24,0,295,0,0
0.54,10,38,0,50,0,0
0.79,43,42,0,213,0,0
0.87,40,43,1,64,0,0
0.78,10,31,1,213,1,0
1.0,10,54,1,10,1,0
1.0,10,54,1,10,0,0
0.5,30,61,0,23,1,0
0.81,10,77,0,451,1,0
0.2,50,27,0,213,0,0
1.0,40,45,1,23,0,0
0.98,43,52,0,213,1,0
0.78,30,33,0,25,1,0
0.7,100,29,0,27,0,0
0.28,43,27,0,10068,1,0
1.0,53,48,1,22,1,0
1.0,30,38,0,213,1,0
0.76,43,27,0,208,0,0
0.89,43,37,1,10,1,0
1.0,56,58,0,4116,0,0
1.0,40,75,1,42,0,0
0.65,40,34,1,1729,1,0
0.81,30,38,0,4128,0,0
1.0,56,46,1,92,0,0
0.19,40,35,1,3541,0,0
1.0,10,22,0,51,0,0
0.62,53,33,0,64,0,0
0.8,30,31,1,91,1,0
0.5,40,34,1,84,0,0
0.16,10,47,0,405,0,0
1.0,40,34,1,31,0,0
0.81,30,28,0,6736,0,0
0.26,30,35,1,295,0,0
1.0,10,46,0,44,0,0
0.75,43,45,0,78,1,0
0.26,40,45,0,22,0,0
1.0,53,53,0,65,1,0
1.0,43,19,0,40,0,0
0.79,30,44,1,2694,1,0
0.35,43,52,1,101,0,0
1.0,43,40,1,17,0,0
0.42,40,29,1,41,0,1
0.83,30,29,1,42,1,0
1.0,56,26,0,192,0,0
1.0,10,54,0,192,0,0
0.69,40,70,0,115,1,0
1.0,40,43,1,51,0,1
0.71,10,51,1,41,1,0
0.96,10,51,0,26,1,1
0.89,40,47,1,30,0,0
0.57,10,23,0,3866,1,0
1.0,10,48,0,42,0,0
0.46,30,19,1,43,1,0
0.34,43,58,1,222,0,0
0.43,30,31,1,222,1,0
1.0,30,61,1,53,1,0
0.06,56,34,0,186,1,0
0.31,10,29,0,27000,0,0
1.0,50,32,0,380,0,0
1.0,40,32,0,1064,0,0
0.96,40,43,0,82,1,0
0.1,40,28,1,741,1,1
0.87,30,28,1,741,1,0
0.47,30,30,0,741,0,0
0.3,43,54,1,335,1,0
0.66,40,51,1,48,0,0
0.58,43,74,0,3866,1,0
0.74,43,32,0,4478,0,0
0.51,43,55,0,21,0,0
1.0,43,57,1,13,0,0
1.0,40,50,1,51,0,0
1.0,43,48,1,20,0,0
0.08,10,53,0,1313,0,0
0.08,40,47,1,43,0,0
0.09,50,76,1,48,0,1
1.0,30,42,1,22,1,0
1.0,10,50,0,295,1,0
0.87,50,39,0,295,1,0
1.0,40,43,1,399,0,0
0.31,53,65,0,1054,0,0
1.0,40,26,0,44,1,0
1.0,30,29,1,84,1,0
1.0,43,45,0,1054,1,0
1.0,10,77,0,137,1,0
0.74,40,64,1,30,1,0
1.0,43,51,0,44,0,0
0.19,56,23,1,308,0,0
1.0,43,29,0,44,1,0
0.87,30,29,1,1054,0,0
1.0,43,67,1,72,0,0
1.0,43,67,1,72,0,0
1.0,43,53,0,44,0,0
1.0,40,47,1,1408,1,0
0.9,50,42,0,1408,1,0
0.62,43,39,0,713,1,0
0.66,30,41,1,444,0,0
0.06,66,49,1,490,0,0
0.61,40,59,0,167,0,0
0.52,10,50,0,1408,0,0
1.0,30,30,1,167,0,0
0.06,56,47,0,1199,0,1
1.0,10,59,1,1408,1,0
0.5,80,33,0,713,1,0
0.5,80,33,0,713,0,0
0.91,50,59,1,575,0,0
0.45,50,26,0,38,0,0
0.33,43,36,1,23,0,0
1.0,40,48,0,287,0,0
1.0,40,48,0,287,0,0
1.0,40,41,0,287,0,0
0.58,40,33,1,136,1,0
0.75,40,41,0,575,0,0
0.45,30,46,0,541,0,0
0.58,43,43,1,65,1,0
1.0,30,39,1,98,0,0
1.0,50,56,1,747,0,0
1.0,10,33,1,247,1,0
0.86,30,40,0,359,1,0
0.61,56,39,1,247,0,0
1.0,43,28,0,747,1,0
1.0,30,65,0,747,0,0
1.0,43,35,0,165,1,0
1.0,43,32,1,165,0,0
0.6,43,38,1,747,0,0
0.31,30,28,1,165,0,0
1.0,30,46,1,98,0,0
1.0,43,39,0,431,0,0
0.57,10,49,0,3021,1,0
0.04,40,38,1,277,0,0
0.81,40,38,1,277,0,0
0.92,10,47,0,359,0,0
1.0,10,27,0,27000,0,0
0.9,43,26,0,165,0,1
1.0,30,55,1,287,0,0
0.95,43,39,1,747,1,0
0.98,50,48,1,747,1,0
0.62,60,37,0,431,1,1
0.75,10,21,0,165,0,0
1.0,43,36,0,1313,1,0
1.0,43,37,0,57,1,0
0.07,43,32,0,86,0,0
1.0,43,45,0,1974,0,0
1.0,40,45,1,21,0,1
0.1,40,23,0,435,1,0
0.42,66,33,0,1974,0,1
1.0,40,37,1,435,1,0
1.0,43,37,1,1974,1,0
0.93,30,42,1,798,0,0
1.0,30,24,1,1974,0,0
0.52,10,54,0,27000,1,0
1.0,43,35,1,18,0,0
1.0,10,40,0,20,0,0
0.92,30,35,1,220,0,0
0.57,30,30,1,4128,1,0
0.11,43,28,1,220,1,0
1.0,40,61,1,81,1,0
0.73,56,36,1,8,0,1
1.0,40,42,1,35,1,0
1.0,40,33,0,10,0,0
1.0,30,24,0,43,1,0
0.8,43,37,0,30,0,0
0.19,53,37,0,30,1,0
0.29,40,27,1,6,0,0
0.66,30,27,1,11,0,0
0.82,40,30,1,48,1,0
0.08,43,45,0,741,1,1
0.9,43,35,0,1600,0,0
0.75,40,24,0,6689,0,0
0.33,40,37,0,126,0,0
0.67,30,23,1,24,1,0
0.47,40,34,1,153,1,0
1.0,50,44,1,153,0,0
0.45,40,31,0,93,0,0
0.1,43,41,0,153,0,0
1.0,43,81,0,104,1,0
1.0,56,44,1,94,0,0
0.78,30,45,0,105,0,0
1.0,40,35,1,27,1,0
1.0,43,37,0,105,0,0
0.64,30,19,0,203,1,1
0.26,53,31,0,1313,1,1
1.0,10,36,0,282,1,0
0.84,40,29,1,15703,1,0
1.0,53,40,0,1064,0,0
1.0,43,59,0,373,1,0
1.0,30,62,1,105,0,0
1.0,30,35,1,105,1,0
0.41,43,41,1,27,1,0
1.0,40,37,1,1313,1,0
0.54,10,20,1,105,0,0
1.0,40,46,0,435,0,0
0.98,40,47,1,25,0,0
1.0,40,54,1,128,1,1
1.0,30,32,1,362,0,0
1.0,10,67,0,1974,1,0
0.92,53,54,0,128,0,0
1.0,56,26,1,826,1,0
0.35,30,23,0,64,1,0
0.79,10,47,0,1974,1,0
0.8,40,20,1,81,0,0
0.75,30,51,0,230,0,0
0.45,30,52,1,1974,0,0
0.02,40,51,0,1974,1,0
1.0,56,27,1,1974,0,0
0.65,43,34,0,29,1,0
0.94,40,22,1,88,1,0
0.72,43,75,0,80,0,0
0.31,30,27,0,298,1,0
0.29,10,40,0,1974,1,0
1.0,40,58,1,85,0,0
0.55,10,31,0,3541,0,0
0.16,30,22,0,213,1,0
0.79,30,58,1,657,0,0
0.57,30,49,1,657,0,0
0.16,40,51,0,657,0,0
0.83,30,45,1,20,0,0
1.0,80,49,0,657,1,0
0.56,53,43,0,657,0,0
1.0,10,27,1,965,0,0
1.0,56,27,0,12,0,0
0.16,53,34,0,657,1,0
0.36,43,52,0,57,0,0
1.0,43,45,0,2694,1,0
1.0,10,29,1,393,1,0
0.57,40,42,1,4116,0,0
1.0,40,46,1,1313,1,0
0.03,40,23,1,15,0,1
1.0,30,54,1,84,1,0
0.88,40,35,0,27000,0,0
0.74,40,47,1,1313,1,0
1.0,43,46,1,84,0,0
1.0,43,65,0,30,0,0
0.25,43,54,0,214,1,0
0.48,40,53,1,105,1,0
0.63,30,24,1,19,0,0
1.0,40,41,0,214,1,0
0.33,40,37,1,17140,1,0
0.42,43,37,1,17140,1,0
0.41,56,40,1,421,1,0
0.45,30,41,1,4116,1,0
0.74,40,26,1,4116,1,0
0.54,40,21,1,358,0,0
1.0,40,48,1,4116,0,0
1.0,40,48,1,4116,1,0
0.3,40,32,1,754,0,0
0.08,30,41,0,4116,0,0
0.16,30,26,1,1109,1,0
1.0,43,30,0,1109,1,0
1.0,10,38,0,4116,1,0
0.91,30,49,0,632,1,0
0.47,43,28,0,4116,1,0
1.0,30,33,1,370,0,0
0.99,30,28,1,6465,0,0
0.54,30,61,0,4116,1,1
0.29,43,46,0,1600,0,0
0.19,43,47,1,1109,0,0
0.75,43,36,1,168,0,0
0.2,40,43,1,4116,0,0
0.83,43,54,1,4116,0,0
0.5,10,22,0,4116,0,0
0.09,10,22,0,4116,0,0
1.0,53,56,1,421,0,0
1.0,56,37,1,286,1,0
0.93,43,42,0,754,0,0
0.5,43,30,1,821,1,0
0.56,10,43,0,5053,1,0
1.0,43,34,0,421,0,0
0.83,40,28,1,1332,1,0
0.47,40,55,0,1867,1,0
1.0,43,56,1,307,0,1
1.0,43,56,1,307,0,0
0.61,53,24,1,26,1,0
1.0,43,69,1,168,1,0
0.58,10,36,0,168,1,0
1.0,10,49,0,10,0,0
0.96,43,32,0,4116,1,0
1.0,30,45,1,44,1,0
0.24,50,38,1,22,0,0
0.21,50,38,1,22,1,0
0.75,40,26,1,12374,1,0
0.1,40,30,1,115,0,0
0.1,40,30,1,115,0,0
1.0,30,37,0,175,1,0
0.06,40,23,1,55,1,1
0.31,30,45,1,1152,1,0
0.53,43,30,1,64,1,0
0.12,43,60,0,1600,0,0
0.41,66,53,0,163,0,0
0.58,30,31,1,282,1,0
1.0,30,33,1,73,0,0
0.78,43,26,0,3866,0,0
0.9,10,30,1,3866,0,0
0.36,40,30,1,27000,1,0
0.46,43,26,0,1127,0,0
1.0,10,42,0,48,0,0
1.0,10,53,0,511,0,0
0.35,40,24,1,149,0,0
0.09,53,23,0,16,0,0
0.35,53,23,0,16,1,0
1.0,40,26,1,3866,1,0
1.0,10,71,0,163,1,0
1.0,10,52,0,196,1,0
0.89,43,44,1,23,1,0
1.0,40,39,0,48,0,0
0.74,50,28,1,74,1,0
1.0,30,48,0,135,0,1
0.87,10,21,1,59,1,0
0.24,50,23,0,1052,0,0
0.44,40,53,1,60,0,0
0.29,50,27,0,1064,1,0
1.0,40,40,0,286,1,0
1.0,30,22,1,493,0,0
0.05,43,52,0,1064,0,0
0.62,40,19,1,3368,1,0
0.04,10,39,1,32,0,0
0.59,40,39,1,32,1,0
0.32,43,52,0,73,1,0
0.48,10,27,0,27000,1,0
0.93,10,31,1,146,0,1
1.0,10,66,0,6681,0,0
0.78,43,39,1,32,1,0
1.0,10,52,1,45,1,0
1.0,30,19,0,286,0,0
0.71,10,21,1,493,1,0
0.23,43,25,0,3368,0,0
1.0,43,69,0,27000,1,0
1.0,43,69,0,27000,0,0
0.22,40,27,1,25,1,0
0.69,43,23,0,4087,0,0
1.0,10,49,0,38,0,0
1.0,30,29,1,1535,0,0
1.0,10,35,0,27000,1,0
0.52,43,49,0,4939,0,1
0.72,50,47,0,5628,1,0
0.12,50,47,0,5628,0,0
0.92,60,59,0,3055,1,0
1.0,53,34,0,1957,1,0
1.0,40,56,0,27000,1,0
1.0,80,53,0,12374,1,0
1.0,43,60,0,9422,0,0
1.0,43,33,0,17140,0,0
1.0,56,57,0,27000,0,0
1.0,120,61,0,27000,0,0
0.56,40,40,1,7403,0,0
0.92,10,29,0,2311,1,0
1.0,30,55,0,27000,0,0
0.51,100,37,0,5376,0,0
0.51,100,37,0,5376,1,0
1.0,30,46,0,27000,0,0
1.0,40,42,0,2887,1,0
0.75,40,48,1,44,1,0
1.0,40,22,1,21,1,0
0.49,43,42,0,570,0,0
0.32,43,51,1,122,0,0
0.37,10,42,0,49,1,0
0.96,40,31,1,155,1,0
1.0,30,58,1,283,0,0
1.0,40,42,0,65,0,0
0.99,40,25,1,58,0,0
1.0,30,65,0,1284,0,0
0.68,43,32,0,1284,0,0
1.0,43,56,0,93,0,0
1.0,43,32,0,1284,1,0
1.0,30,30,0,1284,1,0
1.0,30,30,0,1284,1,0
1.0,40,61,1,204,1,0
0.91,30,23,1,1284,1,0
0.72,30,56,1,1284,0,0
1.0,56,37,0,1284,1,0
0.47,10,58,0,1219,0,0
1.0,60,47,0,644,0,0
0.24,43,60,0,300,1,0
0.36,40,50,1,62,1,0
0.53,40,24,1,44,0,0
0.78,40,29,1,65,1,0
0.33,40,23,1,48,0,0
1.0,40,40,0,644,1,0
0.68,40,26,1,65,1,0
0.26,50,26,1,65,0,0
0.7,43,28,0,59,0,0
0.46,43,53,1,644,1,1
0.5,53,48,0,4348,0,0
0.91,30,39,0,644,1,0
0.58,80,28,0,644,0,1
0.66,30,25,1,644,1,0
0.33,43,28,1,644,0,0
0.68,10,30,0,12,1,0
0.68,10,30,0,12,0,0
0.07,43,25,1,94,0,0
0.79,40,22,1,644,1,1
0.5,40,27,1,4087,0,0
1.0,50,37,1,285,1,0
1.0,10,57,0,171,1,0
0.98,43,37,1,28,1,0
1.0,40,24,0,262,0,0
1.0,40,54,0,3021,1,0
0.94,60,42,0,747,1,0
1.0,80,27,1,285,1,0
0.31,30,58,0,94,1,0
1.0,40,66,1,229,1,0
1.0,40,44,0,14368,1,0
1.0,50,48,0,229,0,0
1.0,53,36,0,229,1,0
1.0,43,61,0,229,1,0
0.71,43,31,1,85,1,0
1.0,10,24,0,1054,0,0
0.8,43,52,0,96,1,0
1.0,40,36,1,3,0,1
1.0,30,41,0,399,1,0
0.83,40,49,0,48,0,0
1.0,10,54,0,8,0,0
0.18,40,36,1,3866,1,0
1.0,10,64,0,399,0,0
0.26,40,48,0,111,1,0
0.59,56,25,0,22,0,0
1.0,40,36,1,949,1,0
0.9,30,23,1,18,1,0
0.65,40,34,1,1314,1,0
1.0,50,49,1,1314,0,0
1.0,40,67,1,1314,0,0
0.98,40,62,1,1314,0,0
0.23,10,29,0,1314,0,0
0.52,10,32,0,3465,0,0
0.87,30,19,0,1314,1,0
0.26,53,26,0,949,0,0
1.0,53,46,0,514,0,0
1.0,40,50,1,949,1,1
1.0,40,51,1,949,1,0
0.75,56,49,1,1314,0,0
0.94,40,23,1,949,0,0
0.16,30,62,1,1314,0,1
1.0,40,57,1,949,1,0
0.94,40,67,1,387,1,0
0.71,10,60,0,322,1,0
0.64,30,43,1,1314,0,0
0.21,10,50,1,1314,0,0
0.44,40,27,1,949,1,0
0.49,53,30,0,1314,1,0
0.26,40,55,1,55,1,1
0.27,40,63,0,949,0,0
0.24,53,50,0,1314,1,0
1.0,43,34,1,23,1,0
0.7,10,63,0,259,0,0
1.0,30,75,0,335,1,1
0.41,40,54,0,15,1,0
1.0,43,57,0,8023,0,0
0.52,40,29,0,2767,0,0
1.0,43,55,1,9,0,0
1.0,30,58,1,29,1,0
0.32,30,60,1,741,0,0
1.0,56,47,1,741,1,0
1.0,43,49,0,741,1,0
0.09,40,24,0,741,0,0
0.57,40,20,1,56,1,0
0.18,50,33,1,741,0,0
1.0,43,23,0,741,0,0
0.3,43,46,0,270,0,0
1.0,10,40,0,31,0,0
0.75,43,41,0,755,1,0
0.96,40,30,1,338,1,0
1.0,30,25,1,461,0,0
0.62,10,43,0,152,0,0
0.5,43,43,0,1054,1,0
0.96,53,48,0,243,1,0
1.0,40,47,1,20,1,0
0.5,40,49,1,376,0,0
0.57,30,51,1,111,1,1
0.4,10,43,1,76,1,0
1.0,56,79,0,71,0,0
0.75,43,29,1,43,0,0
0.25,43,63,0,1054,1,0
0.22,53,22,0,1054,1,0
0.13,30,20,0,40,0,0
0.3,30,34,0,128,0,0
0.16,10,34,0,128,1,0
0.27,10,34,0,128,1,0
1.0,30,55,0,376,0,0
1.0,30,70,0,25,0,0
0.32,40,23,1,50,0,0
1.0,66,54,1,19,0,0
1.0,40,63,1,15,0,0
0.33,30,26,0,82,1,0
0.5,50,99,1,27,0,0
1.0,40,30,0,26,1,0
0.8,40,27,1,741,1,1
0.25,40,52,1,48,1,0
1.0,40,56,1,149,1,0
1.0,10,56,1,26,1,0
0.25,40,32,1,96,1,0
0.1,40,56,1,149,1,0
0.58,56,29,0,18,0,0
0.57,43,53,0,44,1,0
1.0,40,29,0,27000,0,0
0.81,50,26,1,27000,1,0
0.57,10,51,0,27000,1,0
1.0,56,38,1,831,1,0
0.47,40,21,0,1265,0,0
0.64,56,46,1,119,0,1
1.0,43,20,0,831,0,0
0.37,30,34,1,27000,0,0
0.51,50,22,1,107,0,0
0.51,50,22,1,107,0,0
0.51,50,22,1,107,1,0
1.0,10,43,0,3386,0,0
1.0,40,21,1,112,0,0
1.0,43,69,0,461,1,0
0.63,30,55,0,158,1,0
0.66,40,47,1,3386,0,1
0.64,10,45,1,3386,0,0
0.38,43,46,0,461,0,0
1.0,30,76,0,461,1,0
0.66,40,22,0,9850,0,0
1.0,40,34,1,461,1,1
1.0,30,55,1,1244,0,0
0.87,40,45,1,1192,1,1
0.2,40,45,0,1165,0,1
0.8,43,28,0,198,0,1
0.8,43,28,0,198,1,0
0.12,43,41,0,130,0,1
0.91,30,28,0,29,0,0
0.78,10,19,0,1165,0,0
0.92,30,37,1,349,1,0
0.25,40,29,1,249,1,0
1.0,10,39,1,45,1,0
0.66,40,28,0,4128,0,0
0.77,10,26,0,4128,0,0
0.22,43,26,0,4128,1,0
1.0,43,28,0,163,0,0
0.61,50,35,0,983,0,0
0.73,43,36,1,204,1,0
1.0,43,38,0,2575,1,0
0.06,43,53,1,4128,0,1
0.98,40,36,1,98,1,0
1.0,60,65,1,983,0,0
0.78,66,49,1,142,1,0
0.91,50,42,0,1408,1,0
0.92,30,66,0,4128,1,0
0.3,10,21,0,713,0,0
1.0,10,43,1,4128,1,0
1.0,10,43,1,4128,0,0
1.0,60,43,1,4128,0,0
1.0,40,50,1,1604,0,0
0.42,40,24,1,4128,0,0
1.0,43,28,0,4128,1,1
0.55,53,47,0,484,0,0
1.0,40,52,1,96,1,1
0.36,53,54,0,1408,0,0
0.89,10,49,0,44,1,0
0.74,30,77,1,331,0,0
1.0,56,50,1,526,0,0
0.65,30,24,1,4128,1,0
1.0,43,43,1,58,1,0
1.0,43,99,1,4128,0,0
1.0,56,49,1,86,1,0
1.0,10,68,0,851,1,0
1.0,43,61,1,117,0,0
0.94,43,70,0,568,0,0
0.39,40,35,1,197,1,0
0.75,40,35,1,197,0,0
1.0,43,43,1,4128,1,0
1.0,40,54,0,126,0,0
1.0,30,51,1,194,1,0
1.0,10,36,0,4128,1,0
1.0,10,27,0,4128,0,0
1.0,10,29,0,490,1,0
0.49,56,40,1,2575,1,1
0.19,53,48,1,51,0,0
0.8,10,19,0,4128,0,0
0.77,30,49,1,1457,1,1
0.75,43,22,0,4128,1,0
0.71,43,23,0,167,0,0
0.71,43,23,0,167,1,0
0.64,30,49,0,4128,0,0
0.65,30,52,0,142,0,0
0.34,30,22,1,824,0,0
1.0,30,41,1,9817,0,0
1.0,43,51,1,1287,0,0
1.0,43,51,1,1287,0,0
0.07,40,50,1,19,1,0
0.24,40,28,0,4218,0,0
0.83,30,27,1,1443,1,0
0.71,43,25,0,1329,0,0
1.0,10,73,0,1443,1,0
1.0,10,73,0,1443,0,0
1.0,30,28,0,1329,1,0
0.88,40,57,0,2190,0,1
0.9,43,34,0,4792,0,0
1.0,40,20,0,564,0,0
0.6,10,49,0,1329,1,0
0.68,30,46,0,1329,0,0
0.96,40,53,0,1443,1,0
0.65,40,39,0,3856,1,0
0.2,40,25,0,115,1,1
0.74,50,48,1,101,0,0
0.5,43,43,0,192,0,0
0.69,43,30,1,28,0,0
0.83,50,46,0,488,0,0
0.49,10,32,0,213,0,0
0.74,50,29,1,1329,1,0
0.13,10,29,0,1329,0,0
0.97,30,22,1,2411,1,0
0.18,50,42,0,1329,1,0
0.72,43,48,1,755,0,1
0.83,10,28,0,109,1,0
1.0,50,41,1,405,0,0
0.02,43,47,1,49,0,0
1.0,40,52,1,1313,1,0
1.0,53,37,1,405,1,0
1.0,40,38,1,405,1,0
1.0,56,52,1,13,1,0
0.34,10,42,0,1054,1,0
