"PolicyID","ClaimAmount","ClaimNb","Exposure","Power","CarAge","DriverAge","Brand","Gas","Region","Density"
948,538,2,0.66,"g",0,51,"Japanese (except Nissan) or Korean","Regular","Ile-de-France",27000
956,508,1,0.65,"j",7,27,"Japanese (except Nissan) or Korean","Diesel","Pays-de-la-Loire",162
1048,1768,1,0.49,"k",0,39,"Japanese (except Nissan) or Korean","Diesel","Ile-de-France",27000
1059,584,1,0.51,"f",0,35,"Japanese (except Nissan) or Korean","Regular","Centre",949
1135,1458,1,0.54,"e",0,25,"Volkswagen, Audi, Skoda or Seat","Diesel","Ile-de-France",10961
1188,31889,2,0.42,"k",0,45,"Japanese (except Nissan) or Korean","Diesel","Ile-de-France",1248
1188,556,2,0.42,"k",0,45,"Japanese (except Nissan) or Korean","Diesel","Ile-de-France",1248
1343,685,1,0.46,"f",5,47,"Opel, General Motors or Ford","Diesel","Basse-Normandie",1021
1392,76,1,0.43,"f",8,23,"Renault, Nissan or Citroen","Diesel","Aquitaine",800
1408,2040,1,0.47,"g",4,46,"Fiat","Regular","Ile-de-France",56
1432,890,1,0.29,"f",0,42,"Japanese (except Nissan) or Korean","Regular","Ile-de-France",17140
1454,89,1,0.26,"e",6,32,"Renault, Nissan or Citroen","Regular","Ile-de-France",3274
1526,91,2,0.43,"e",8,18,"Opel, General Motors or Ford","Diesel","Aquitaine",2498
1526,1153,2,0.43,"e",8,18,"Opel, General Motors or Ford","Diesel","Aquitaine",2498
1603,593,1,0.21,"d",3,36,"Renault, Nissan or Citroen","Regular","Nord-Pas-de-Calais",2537
1634,74,1,0.38,"g",2,33,"Renault, Nissan or Citroen","Diesel","Ile-de-France",5460
1689,634,1,0.26,"f",2,56,"Japanese (except Nissan) or Korean","Diesel","Pays-de-la-Loire",97
1965,1024,1,0.19,"d",0,51,"Japanese (except Nissan) or Korean","Regular","Poitou-Charentes",100
1983,1163,1,0.14,"e",0,60,"Japanese (except Nissan) or Korean","Regular","Ile-de-France",12750
2069,363,1,0.12,"e",0,25,"Japanese (except Nissan) or Korean","Regular","Poitou-Charentes",515
2160,6103,1,0.07,"j",10,24,"Japanese (except Nissan) or Korean","Regular","Aquitaine",72
2286,1147,1,1,"h",9,56,"Fiat","Diesel","Aquitaine",272
2310,93,1,0.5,"e",4,42,"Renault, Nissan or Citroen","Regular","Haute-Normandie",361
2377,1163,1,1,"d",13,36,"Renault, Nissan or Citroen","Regular","Bretagne",229
2425,3602,1,0.68,"e",4,46,"Fiat","Regular","Centre",4116
2431,1159,2,0.75,"d",8,56,"Opel, General Motors or Ford","Regular","Basse-Normandie",1284
2431,90,2,0.75,"d",8,56,"Opel, General Motors or Ford","Regular","Basse-Normandie",1284
2439,1028,1,0.54,"g",12,44,"Renault, Nissan or Citroen","Regular","Centre",399
2440,1138,1,0.19,"g",13,44,"Renault, Nissan or Citroen","Regular","Centre",399
2458,1038,1,1,"f",2,73,"Renault, Nissan or Citroen","Diesel","Centre",105
2461,1152,1,1,"e",7,61,"Renault, Nissan or Citroen","Regular","Bretagne",461
2467,78,1,1,"g",8,53,"Renault, Nissan or Citroen","Regular","Centre",121
2501,1048,1,0.19,"g",0,44,"Renault, Nissan or Citroen","Diesel","Basse-Normandie",56
2519,1143,1,1,"h",7,65,"Volkswagen, Audi, Skoda or Seat","Regular","Centre",44
2538,98,1,1,"g",8,78,"Renault, Nissan or Citroen","Regular","Centre",282
2581,1504,1,1,"d",6,51,"Renault, Nissan or Citroen","Regular","Centre",40
2587,808,1,1,"d",8,76,"Fiat","Regular","Centre",405
2591,1134,1,0.59,"f",1,69,"Renault, Nissan or Citroen","Regular","Centre",741
2674,1119,1,0.99,"h",9,56,"Renault, Nissan or Citroen","Diesel","Basse-Normandie",1284
2709,314,1,1,"e",1,72,"Renault, Nissan or Citroen","Regular","Centre",48
2752,1697,1,0.39,"f",10,55,"Renault, Nissan or Citroen","Diesel","Pays-de-la-Loire",26
2796,1141,1,0.5,"f",6,44,"Renault, Nissan or Citroen","Diesel","Centre",56
2798,491,1,1,"g",9,78,"Renault, Nissan or Citroen","Regular","Basse-Normandie",1284
2812,69024,1,0.49,"f",5,50,"Renault, Nissan or Citroen","Diesel","Bretagne",48
2815,1110,1,1,"f",6,78,"Renault, Nissan or Citroen","Regular","Poitou-Charentes",43
2874,112,1,0.75,"d",10,50,"Renault, Nissan or Citroen","Diesel","Basse-Normandie",251
2919,683,1,1,"e",10,62,"Renault, Nissan or Citroen","Regular","Ile-de-France",2563
2956,1116,1,0.67,"g",2,53,"Renault, Nissan or Citroen","Regular","Centre",13
2969,241,1,1,"f",13,48,"Opel, General Motors or Ford","Regular","Centre",335
2974,1141,1,1,"g",6,54,"Renault, Nissan or Citroen","Regular","Centre",66
2999,5522,1,1,"o",1,73,"Mercedes, Chrysler or BMW","Regular","Centre",10
3015,3742,1,0.24,"g",18,51,"Renault, Nissan or Citroen","Regular","Centre",1313
3023,24789,1,0.72,"d",11,79,"Renault, Nissan or Citroen","Regular","Centre",39
3085,2428,1,1,"j",11,66,"Japanese (except Nissan) or Korean","Diesel","Centre",4116
3144,61,1,0.5,"e",5,53,"Renault, Nissan or Citroen","Regular","Bretagne",94
3161,10,1,1,"g",14,63,"Renault, Nissan or Citroen","Regular","Centre",1943
3177,1093,1,1,"e",9,50,"Opel, General Motors or Ford","Diesel","Centre",399
3202,1174,1,1,"i",10,53,"Renault, Nissan or Citroen","Regular","Centre",255
3275,1136,2,1,"f",12,86,"Renault, Nissan or Citroen","Regular","Poitou-Charentes",227
3275,1132,2,1,"f",12,86,"Renault, Nissan or Citroen","Regular","Poitou-Charentes",227
3285,1311,1,1,"f",4,67,"Renault, Nissan or Citroen","Diesel","Centre",18
3298,1167,1,1,"k",11,48,"Mercedes, Chrysler or BMW","Regular","Poitou-Charentes",49
3306,394,1,0.93,"g",14,60,"Renault, Nissan or Citroen","Regular","Centre",295
3328,7,1,0.16,"i",16,64,"Renault, Nissan or Citroen","Regular","Centre",295
3342,1109,1,1,"e",11,43,"Renault, Nissan or Citroen","Diesel","Centre",44
3344,7119,1,1,"d",4,75,"Renault, Nissan or Citroen","Regular","Centre",385
3349,720,1,0.34,"f",0,52,"Fiat","Regular","Centre",50
3356,232,1,0.79,"g",8,43,"Renault, Nissan or Citroen","Regular","Centre",16
3380,66376,1,0.33,"j",7,49,"Mercedes, Chrysler or BMW","Regular","Centre",73
3385,778,1,1,"g",10,67,"Renault, Nissan or Citroen","Regular","Centre",48
3447,968,1,1,"f",9,53,"Renault, Nissan or Citroen","Regular","Centre",24
3494,1061,1,1,"l",5,51,"Japanese (except Nissan) or Korean","Diesel","Pays-de-la-Loire",8
3504,4871,2,1,"g",3,75,"Renault, Nissan or Citroen","Regular","Centre",91
3504,5972,2,1,"g",3,75,"Renault, Nissan or Citroen","Regular","Centre",91
3516,770,1,1,"e",9,43,"Opel, General Motors or Ford","Diesel","Centre",35
3546,1260,1,0.24,"g",0,54,"other","Diesel","Centre",4116
3567,2314,1,1,"f",5,54,"Opel, General Motors or Ford","Regular","Bretagne",1102
3577,1103,1,1,"f",2,80,"Renault, Nissan or Citroen","Regular","Bretagne",473
3592,60,1,1,"d",12,49,"Renault, Nissan or Citroen","Regular","Pays-de-la-Loire",522
3616,1087,1,0.87,"f",1,71,"Renault, Nissan or Citroen","Diesel","Bretagne",229
3666,1121,1,1,"d",11,86,"Renault, Nissan or Citroen","Diesel","Centre",51
3677,1171,1,1,"g",13,73,"Renault, Nissan or Citroen","Regular","Centre",182
3694,676,1,1,"h",6,69,"Renault, Nissan or Citroen","Regular","Bretagne",359
3721,1117,1,0.74,"f",4,42,"Renault, Nissan or Citroen","Diesel","Centre",28
3737,257,1,0.98,"g",6,52,"Renault, Nissan or Citroen","Diesel","Centre",44
3763,1170,1,0.16,"l",12,45,"Volkswagen, Audi, Skoda or Seat","Regular","Centre",10
3814,1301,1,1,"e",2,52,"Volkswagen, Audi, Skoda or Seat","Diesel","Centre",1313
3829,537,1,0.75,"d",15,72,"Renault, Nissan or Citroen","Regular","Centre",57
3836,1122,1,1,"g",11,87,"Renault, Nissan or Citroen","Regular","Centre",399
3841,30673,1,1,"f",2,50,"Renault, Nissan or Citroen","Diesel","Centre",32
3843,1128,2,1,"e",17,58,"Renault, Nissan or Citroen","Regular","Centre",44
3843,1137,2,1,"e",17,58,"Renault, Nissan or Citroen","Regular","Centre",44
3882,1071,1,1,"g",14,55,"Renault, Nissan or Citroen","Regular","Centre",111
3901,4844,1,0.24,"h",10,49,"Mercedes, Chrysler or BMW","Regular","Centre",12
3907,195,1,1,"g",5,51,"Renault, Nissan or Citroen","Diesel","Centre",59
3937,513,1,1,"g",7,82,"Renault, Nissan or Citroen","Regular","Centre",27
3965,1192,1,1,"i",1,62,"Renault, Nissan or Citroen","Regular","Centre",91
4050,1110,1,1,"f",6,69,"Volkswagen, Audi, Skoda or Seat","Diesel","Centre",25
4059,389,1,1,"h",1,45,"Renault, Nissan or Citroen","Diesel","Centre",106
4062,1113,1,1,"g",5,72,"Renault, Nissan or Citroen","Regular","Centre",26
4099,796,1,1,"e",6,46,"Opel, General Motors or Ford","Diesel","Ile-de-France",2007
4134,2274,1,1,"k",6,42,"Renault, Nissan or Citroen","Regular","Centre",74
4154,2738,1,1,"g",5,50,"Renault, Nissan or Citroen","Diesel","Centre",1313
4160,889,1,1,"d",21,68,"Renault, Nissan or Citroen","Regular","Centre",30
4183,1164,1,1,"g",12,68,"Mercedes, Chrysler or BMW","Regular","Centre",270
4267,1102,1,0.52,"f",4,46,"Renault, Nissan or Citroen","Diesel","Basse-Normandie",50
4281,1069,1,1,"h",6,58,"other","Diesel","Bretagne",575
4286,1115,1,0.99,"k",8,53,"other","Regular","Bretagne",165
4292,1135,1,1,"f",5,71,"Renault, Nissan or Citroen","Diesel","Bretagne",634
4336,1128,1,0.96,"d",15,54,"Renault, Nissan or Citroen","Regular","Bretagne",473
4344,3184,1,0.22,"g",4,49,"Renault, Nissan or Citroen","Diesel","Pays-de-la-Loire",4128
4365,1159,1,1,"e",14,49,"Renault, Nissan or Citroen","Regular","Pays-de-la-Loire",4128
4368,573,1,1,"g",10,47,"Fiat","Diesel","Basse-Normandie",122
4379,750,1,1,"e",4,71,"Renault, Nissan or Citroen","Regular","Pays-de-la-Loire",91
4421,576,1,1,"f",6,81,"other","Diesel","Centre",112
4428,208,1,1,"f",11,50,"Renault, Nissan or Citroen","Regular","Basse-Normandie",60
4439,1129,1,0.42,"f",12,42,"Renault, Nissan or Citroen","Regular","Bretagne",133
4444,1683,1,0.96,"d",11,43,"Renault, Nissan or Citroen","Regular","Basse-Normandie",196
4488,10463,1,0.37,"d",10,78,"Renault, Nissan or Citroen","Diesel","Centre",45
4500,164,1,1,"f",3,51,"Volkswagen, Audi, Skoda or Seat","Regular","Bretagne",287
4531,1108,1,0.36,"e",8,56,"Renault, Nissan or Citroen","Diesel","Ile-de-France",27000
4539,1162,1,1,"f",5,59,"Renault, Nissan or Citroen","Diesel","Nord-Pas-de-Calais",270
4542,1130,1,0.52,"g",3,51,"Renault, Nissan or Citroen","Diesel","Centre",71
4566,1207,1,0.22,"d",5,69,"Renault, Nissan or Citroen","Regular","Bretagne",473
4609,1163,1,1,"d",10,56,"Opel, General Motors or Ford","Regular","Bretagne",3386
4623,1098,1,1,"e",2,72,"Renault, Nissan or Citroen","Regular","Bretagne",473
4634,127,1,1,"e",1,58,"Volkswagen, Audi, Skoda or Seat","Regular","Ile-de-France",27000
4665,1117,1,1,"d",15,68,"Renault, Nissan or Citroen","Regular","Centre",9
4682,80,1,1,"d",8,39,"Opel, General Motors or Ford","Diesel","Centre",29
4719,1140,1,0.39,"g",4,74,"Renault, Nissan or Citroen","Diesel","Centre",155
4747,1047,1,0.43,"e",4,53,"Opel, General Motors or Ford","Diesel","Centre",128
4760,3437,1,0.5,"g",4,52,"Renault, Nissan or Citroen","Regular","Centre",14
4765,387,1,1,"f",2,77,"Renault, Nissan or Citroen","Regular","Centre",399
4795,70,1,0.74,"f",1,58,"Mercedes, Chrysler or BMW","Regular","Centre",399
4810,1088,1,1,"f",6,65,"Renault, Nissan or Citroen","Diesel","Centre",16
4824,1240,1,1,"g",11,55,"Renault, Nissan or Citroen","Regular","Centre",30
4826,1083,1,1,"e",2,76,"Renault, Nissan or Citroen","Regular","Centre",43
4857,1059,1,1,"e",12,62,"Volkswagen, Audi, Skoda or Seat","Diesel","Centre",399
4874,72,1,1,"g",5,63,"Renault, Nissan or Citroen","Diesel","Centre",192
4891,1177,1,0.71,"g",3,51,"Volkswagen, Audi, Skoda or Seat","Diesel","Centre",9
4953,1256,1,1,"e",6,57,"Opel, General Motors or Ford","Diesel","Centre",4116
4954,1344,1,1,"f",3,41,"Renault, Nissan or Citroen","Regular","Centre",270
4977,1083,1,0.75,"f",4,48,"Renault, Nissan or Citroen","Diesel","Pays-de-la-Loire",13
4984,1922,1,0.77,"f",1,48,"Renault, Nissan or Citroen","Regular","Centre",1064
4986,81,1,1,"i",13,44,"Mercedes, Chrysler or BMW","Diesel","Centre",394
5010,2827,1,0.72,"e",0,64,"Renault, Nissan or Citroen","Diesel","Centre",51
5074,134,1,1,"g",11,41,"Renault, Nissan or Citroen","Regular","Centre",821
5122,1123,1,1,"d",15,72,"Renault, Nissan or Citroen","Regular","Bretagne",229
5160,1173,1,1,"f",3,38,"Renault, Nissan or Citroen","Diesel","Basse-Normandie",2103
5183,69,1,1,"e",8,66,"Opel, General Motors or Ford","Regular","Bretagne",1192
5200,3869,1,1,"h",6,45,"Japanese (except Nissan) or Korean","Regular","Bretagne",473
5206,1127,1,0.75,"g",7,57,"Opel, General Motors or Ford","Regular","Bretagne",229
5211,425,1,1,"f",2,58,"Renault, Nissan or Citroen","Diesel","Bretagne",473
5228,1074,1,1,"f",6,65,"Renault, Nissan or Citroen","Regular","Bretagne",229
5244,582,1,0.88,"e",6,52,"Volkswagen, Audi, Skoda or Seat","Regular","Bretagne",473
5272,471,1,1,"e",5,43,"Renault, Nissan or Citroen","Regular","Pays-de-la-Loire",4128
5284,1081,1,1,"g",6,44,"Renault, Nissan or Citroen","Diesel","Basse-Normandie",77
5295,321,1,0.72,"f",7,51,"Renault, Nissan or Citroen","Regular","Ile-de-France",8884
5302,279,2,1,"f",9,80,"Renault, Nissan or Citroen","Regular","Basse-Normandie",1284
5302,1163,2,1,"f",9,80,"Renault, Nissan or Citroen","Regular","Basse-Normandie",1284
5308,91,1,0.24,"k",7,60,"Renault, Nissan or Citroen","Regular","Bretagne",3386
5319,1127,1,1,"g",7,49,"Renault, Nissan or Citroen","Diesel","Bretagne",165
5328,1113,1,1,"f",2,66,"Renault, Nissan or Citroen","Diesel","Bretagne",165
5364,64,1,1,"d",6,51,"Fiat","Regular","Ile-de-France",36
5411,41,1,1,"d",5,56,"Fiat","Regular","Bretagne",461
5416,1115,1,1,"e",13,86,"Renault, Nissan or Citroen","Regular","Centre",16
5434,2588,1,0.97,"f",2,79,"Renault, Nissan or Citroen","Diesel","Centre",118
5447,1147,1,0.63,"e",9,36,"Opel, General Motors or Ford","Diesel","Centre",1064
5459,7688,1,1,"e",1,54,"Mercedes, Chrysler or BMW","Diesel","Centre",3866
5461,1157,1,1,"f",4,50,"Opel, General Motors or Ford","Diesel","Centre",282
5464,1138,1,1,"i",12,53,"other","Regular","Centre",1193
5478,1180,1,0.87,"d",3,46,"Renault, Nissan or Citroen","Regular","Centre",28
5492,2925,1,0.41,"i",11,29,"Mercedes, Chrysler or BMW","Diesel","Centre",3866
5506,75,1,0.66,"g",4,49,"Renault, Nissan or Citroen","Diesel","Centre",97
5512,7833,1,0.7,"f",10,63,"Renault, Nissan or Citroen","Diesel","Centre",1398
5546,1439,1,0.26,"g",11,33,"Renault, Nissan or Citroen","Regular","Centre",374
5547,1097,1,0.73,"g",17,33,"Renault, Nissan or Citroen","Regular","Centre",374
5602,1150,1,1,"f",11,50,"Renault, Nissan or Citroen","Regular","Ile-de-France",10156
5609,368,1,0.16,"e",16,35,"Renault, Nissan or Citroen","Regular","Haute-Normandie",39
5621,1079,1,0.42,"f",0,50,"Volkswagen, Audi, Skoda or Seat","Diesel","Limousin",16
5660,851,1,1,"e",3,29,"Opel, General Motors or Ford","Regular","Bretagne",87
5662,423,1,1,"e",4,33,"Volkswagen, Audi, Skoda or Seat","Diesel","Bretagne",1690
5685,4886,1,0.37,"g",0,31,"Renault, Nissan or Citroen","Regular","Bretagne",34
5706,1413,1,1,"f",10,56,"Volkswagen, Audi, Skoda or Seat","Diesel","Bretagne",747
5709,666,1,1,"f",5,25,"Renault, Nissan or Citroen","Regular","Bretagne",634
5734,1351,1,1,"f",3,25,"Volkswagen, Audi, Skoda or Seat","Regular","Bretagne",39
5755,565,1,1,"f",3,41,"Renault, Nissan or Citroen","Diesel","Bretagne",70
5759,86,1,1,"f",13,50,"Volkswagen, Audi, Skoda or Seat","Regular","Bretagne",50
5777,2148,1,1,"e",3,46,"Renault, Nissan or Citroen","Diesel","Ile-de-France",22669
5794,1157,1,1,"f",7,35,"Opel, General Motors or Ford","Regular","Bretagne",51
5809,942,1,0.43,"e",5,43,"Volkswagen, Audi, Skoda or Seat","Diesel","Bretagne",133
5885,1441,1,1,"h",3,52,"Renault, Nissan or Citroen","Diesel","Centre",90
5900,1857,1,0.66,"f",0,60,"Renault, Nissan or Citroen","Regular","Centre",20
5924,51,1,0.97,"g",9,47,"Renault, Nissan or Citroen","Diesel","Centre",44
5938,1082,1,1,"g",5,74,"Renault, Nissan or Citroen","Regular","Centre",78
5953,7001,1,1,"k",11,46,"other","Regular","Centre",298
5974,1132,1,0.83,"d",0,76,"Renault, Nissan or Citroen","Regular","Centre",22
6021,61,1,1,"g",5,73,"Renault, Nissan or Citroen","Regular","Centre",81
6132,63,1,0.76,"e",2,27,"Volkswagen, Audi, Skoda or Seat","Diesel","Bretagne",255
6137,151,1,0.56,"j",3,30,"Opel, General Motors or Ford","Diesel","Centre",614
6218,696,1,1,"e",4,67,"Renault, Nissan or Citroen","Regular","Centre",126
6225,351,1,0.31,"f",13,50,"Renault, Nissan or Citroen","Diesel","Centre",29
6246,1084,2,1,"f",6,23,"Renault, Nissan or Citroen","Diesel","Centre",61
6246,1131,2,1,"f",6,23,"Renault, Nissan or Citroen","Diesel","Centre",61
6271,26929,1,0.09,"f",13,33,"Fiat","Regular","Centre",67
6286,1082,1,1,"h",13,46,"Renault, Nissan or Citroen","Diesel","Centre",170
6287,287,1,1,"d",4,50,"Renault, Nissan or Citroen","Regular","Centre",50
6318,423,1,1,"e",2,54,"Renault, Nissan or Citroen","Diesel","Centre",13
6416,1077,1,0.55,"g",16,74,"Renault, Nissan or Citroen","Regular","Centre",67
6465,1159,1,0.7,"e",10,20,"Renault, Nissan or Citroen","Regular","Centre",5
6481,4810,1,0.6,"f",9,20,"Renault, Nissan or Citroen","Diesel","Centre",16
6512,79,1,1,"g",5,29,"Renault, Nissan or Citroen","Diesel","Centre",67
6519,1016,1,1,"f",6,63,"Renault, Nissan or Citroen","Diesel","Centre",13
6532,2699,2,0.84,"g",9,24,"Renault, Nissan or Citroen","Regular","Centre",295
6532,602,2,0.84,"g",9,24,"Renault, Nissan or Citroen","Regular","Centre",295
6598,1147,1,0.54,"d",19,38,"Renault, Nissan or Citroen","Regular","Centre",50
6652,1410,1,0.79,"g",4,42,"Renault, Nissan or Citroen","Regular","Limousin",213
6660,1125,1,0.87,"f",6,43,"Renault, Nissan or Citroen","Diesel","Limousin",64
6666,2047,1,0.78,"d",9,31,"Renault, Nissan or Citroen","Diesel","Limousin",213
6670,1078,2,1,"d",6,54,"Renault, Nissan or Citroen","Diesel","Limousin",10
6670,1099,2,1,"d",6,54,"Renault, Nissan or Citroen","Diesel","Limousin",10
6679,498,1,0.5,"e",11,61,"Volkswagen, Audi, Skoda or Seat","Regular","Limousin",23
6683,1729,1,0.81,"d",14,77,"Renault, Nissan or Citroen","Regular","Pays-de-la-Loire",451
6688,351,1,0.2,"h",13,27,"Renault, Nissan or Citroen","Regular","Limousin",213
6711,681,1,1,"f",11,45,"Fiat","Diesel","Limousin",23
6720,1158,1,0.98,"g",12,52,"Renault, Nissan or Citroen","Regular","Limousin",213
6730,539,1,0.78,"e",8,33,"Opel, General Motors or Ford","Regular","Limousin",25
6734,402,1,0.7,"n",12,29,"Mercedes, Chrysler or BMW","Regular","Limousin",27
6743,1232,1,0.28,"g",4,27,"Fiat","Regular","Ile-de-France",10068
6747,240,1,1,"i",10,48,"Renault, Nissan or Citroen","Diesel","Limousin",22
6750,1134,1,1,"e",14,38,"Fiat","Regular","Limousin",213
6760,1100,1,0.76,"g",10,27,"Fiat","Regular","Pays-de-la-Loire",208
6762,106,1,0.89,"g",5,37,"Renault, Nissan or Citroen","Diesel","Limousin",10
6881,1189,1,1,"j",2,58,"Renault, Nissan or Citroen","Regular","Centre",4116
6927,1127,1,1,"f",14,75,"Renault, Nissan or Citroen","Diesel","Pays-de-la-Loire",42
6933,1158,1,0.65,"f",1,34,"Volkswagen, Audi, Skoda or Seat","Diesel","Limousin",1729
6964,580,1,0.81,"e",2,38,"Renault, Nissan or Citroen","Regular","Pays-de-la-Loire",4128
7003,984,1,1,"j",9,46,"Renault, Nissan or Citroen","Diesel","Pays-de-la-Loire",92
7006,1211,1,0.19,"f",8,35,"Renault, Nissan or Citroen","Diesel","Pays-de-la-Loire",3541
7011,1098,1,1,"d",6,22,"Opel, General Motors or Ford","Regular","Pays-de-la-Loire",51
7039,237,1,0.62,"i",6,33,"Renault, Nissan or Citroen","Regular","Pays-de-la-Loire",64
7061,160,1,0.8,"e",4,31,"Volkswagen, Audi, Skoda or Seat","Diesel","Pays-de-la-Loire",91
7100,1662,1,0.5,"f",8,34,"Renault, Nissan or Citroen","Diesel","Pays-de-la-Loire",84
7115,1109,1,0.16,"d",13,47,"Renault, Nissan or Citroen","Regular","Pays-de-la-Loire",405
7147,1114,1,1,"f",6,34,"Renault, Nissan or Citroen","Diesel","Pays-de-la-Loire",31
7167,1103,1,0.81,"e",11,28,"Fiat","Regular","Ile-de-France",6736
7184,1126,1,0.26,"e",14,35,"Renault, Nissan or Citroen","Diesel","Pays-de-la-Loire",295
7204,1132,1,1,"d",1,46,"Japanese (except Nissan) or Korean","Regular","Pays-de-la-Loire",44
7217,1116,1,0.75,"g",13,45,"Renault, Nissan or Citroen","Regular","Pays-de-la-Loire",78
7238,1189,1,0.26,"f",10,45,"Renault, Nissan or Citroen","Regular","Limousin",22
7299,117,1,1,"i",9,53,"Volkswagen, Audi, Skoda or Seat","Regular","Pays-de-la-Loire",65
7313,1155,1,1,"g",10,19,"Fiat","Regular","Pays-de-la-Loire",40
7348,41,1,0.79,"e",10,44,"Opel, General Motors or Ford","Diesel","Poitou-Charentes",2694
7388,97,1,0.35,"g",0,52,"Volkswagen, Audi, Skoda or Seat","Diesel","Aquitaine",101
7404,308,1,1,"g",4,40,"Renault, Nissan or Citroen","Diesel","Centre",17
7452,4506,1,0.42,"f",6,29,"Volkswagen, Audi, Skoda or Seat","Diesel","Centre",41
7464,2409,1,0.83,"e",9,29,"Renault, Nissan or Citroen","Diesel","Centre",42
7468,559,1,1,"j",5,26,"Opel, General Motors or Ford","Regular","Centre",192
7496,1122,1,1,"d",11,54,"Renault, Nissan or Citroen","Regular","Centre",192
7571,2449,1,0.69,"f",1,70,"Renault, Nissan or Citroen","Regular","Centre",115
7600,3368,1,1,"f",4,43,"other","Diesel","Centre",51
7601,1812,1,0.71,"d",11,51,"Renault, Nissan or Citroen","Diesel","Centre",41
7608,5846,1,0.96,"d",8,51,"Renault, Nissan or Citroen","Regular","Centre",26
7612,1096,1,0.89,"f",2,47,"Renault, Nissan or Citroen","Diesel","Centre",30
7620,1106,1,0.57,"d",18,23,"Renault, Nissan or Citroen","Regular","Centre",3866
7644,1127,1,1,"d",15,48,"Renault, Nissan or Citroen","Regular","Centre",42
7691,1098,1,0.46,"e",12,19,"Volkswagen, Audi, Skoda or Seat","Diesel","Centre",43
7729,1156,1,0.34,"g",12,58,"Renault, Nissan or Citroen","Diesel","Centre",222
7743,2688,1,0.43,"e",10,31,"Fiat","Diesel","Centre",222
7793,1182,1,1,"e",1,61,"Renault, Nissan or Citroen","Diesel","Centre",53
7822,1110,1,0.06,"j",8,34,"Japanese (except Nissan) or Korean","Regular","Centre",186
7845,1136,1,0.31,"d",2,29,"Renault, Nissan or Citroen","Regular","Ile-de-France",27000
7859,51,1,1,"h",13,32,"Renault, Nissan or Citroen","Regular","Pays-de-la-Loire",380
7876,1085,1,1,"f",17,32,"Opel, General Motors or Ford","Regular","Centre",1064
7906,1113,1,0.96,"f",17,43,"Volkswagen, Audi, Skoda or Seat","Regular","Centre",82
7918,3769,1,0.1,"f",6,28,"Renault, Nissan or Citroen","Diesel","Centre",741
7920,341,1,0.87,"e",2,28,"Renault, Nissan or Citroen","Diesel","Centre",741
