PolicyID,ClaimNb,Exposure,Power,CarAge,DriverAge,Brand,Gas,Region,Density,ClaimAmount
4183,1,1.0,g,12,68,"Mercedes, Chrysler or BMW",Regular,Centre,270,1164
4267,1,0.52,f,4,46,"Renault, Nissan or Citroen",Diesel,Basse-Normandie,50,1102
4281,1,1.0,h,6,58,other,Diesel,Bretagne,575,1069
4286,1,0.99,k,8,53,other,Regular,Bretagne,165,1115
4292,1,1.0,f,5,71,"Renault, Nissan or Citroen",Diesel,Bretagne,634,1135
4336,1,0.96,d,15,54,"Renault, Nissan or Citroen",Regular,Bretagne,473,1128
4344,1,0.22,g,4,49,"Renault, Nissan or Citroen",Diesel,Pays-de-la-Loire,4128,3184
4365,1,1.0,e,14,49,"Renault, Nissan or Citroen",Regular,Pays-de-la-Loire,4128,1159
4368,1,1.0,g,10,47,Fiat,Diesel,Basse-Normandie,122,573
4379,1,1.0,e,4,71,"Renault, Nissan or Citroen",Regular,Pays-de-la-Loire,91,750
4421,1,1.0,f,6,81,other,Diesel,Centre,112,576
4428,1,1.0,f,11,50,"Renault, Nissan or Citroen",Regular,Basse-Normandie,60,208
4439,1,0.42,f,12,42,"Renault, Nissan or Citroen",Regular,Bretagne,133,1129
4444,1,0.96,d,11,43,"Renault, Nissan or Citroen",Regular,Basse-Normandie,196,1683
4488,1,0.37,d,10,78,"Renault, Nissan or Citroen",Diesel,Centre,45,10463
4500,1,1.0,f,3,51,"Volkswagen, Audi, Skoda or Seat",Regular,Bretagne,287,164
4531,1,0.36,e,8,56,"Renault, Nissan or Citroen",Diesel,Ile-de-France,27000,1108
4539,1,1.0,f,5,59,"Renault, Nissan or Citroen",Diesel,Nord-Pas-de-Calais,270,1162
4542,1,0.52,g,3,51,"Renault, Nissan or Citroen",Diesel,Centre,71,1130
4566,1,0.22,d,5,69,"Renault, Nissan or Citroen",Regular,Bretagne,473,1207
4609,1,1.0,d,10,56,"Opel, General Motors or Ford",Regular,Bretagne,3386,1163
4623,1,1.0,e,2,72,"Renault, Nissan or Citroen",Regular,Bretagne,473,1098
4634,1,1.0,e,1,58,"Volkswagen, Audi, Skoda or Seat",Regular,Ile-de-France,27000,127
4665,1,1.0,d,15,68,"Renault, Nissan or Citroen",Regular,Centre,9,1117
4682,1,1.0,d,8,39,"Opel, General Motors or Ford",Diesel,Centre,29,80
4719,1,0.39,g,4,74,"Renault, Nissan or Citroen",Diesel,Centre,155,1140
4747,1,0.43,e,4,53,"Opel, General Motors or Ford",Diesel,Centre,128,1047
4760,1,0.5,g,4,52,"Renault, Nissan or Citroen",Regular,Centre,14,3437
4765,1,1.0,f,2,77,"Renault, Nissan or Citroen",Regular,Centre,399,387
4795,1,0.74,f,1,58,"Mercedes, Chrysler or BMW",Regular,Centre,399,70
4810,1,1.0,f,6,65,"Renault, Nissan or Citroen",Diesel,Centre,16,1088
4824,1,1.0,g,11,55,"Renault, Nissan or Citroen",Regular,Centre,30,1240
4826,1,1.0,e,2,76,"Renault, Nissan or Citroen",Regular,Centre,43,1083
4857,1,1.0,e,12,62,"Volkswagen, Audi, Skoda or Seat",Diesel,Centre,399,1059
4874,1,1.0,g,5,63,"Renault, Nissan or Citroen",Diesel,Centre,192,72
4891,1,0.71,g,3,51,"Volkswagen, Audi, Skoda or Seat",Diesel,Centre,9,1177
4953,1,1.0,e,6,57,"Opel, General Motors or Ford",Diesel,Centre,4116,1256
4954,1,1.0,f,3,41,"Renault, Nissan or Citroen",Regular,Centre,270,1344
4977,1,0.75,f,4,48,"Renault, Nissan or Citroen",Diesel,Pays-de-la-Loire,13,1083
4984,1,0.77,f,1,48,"Renault, Nissan or Citroen",Regular,Centre,1064,1922
4986,1,1.0,i,13,44,"Mercedes, Chrysler or BMW",Diesel,Centre,394,81
5010,1,0.72,e,0,64,"Renault, Nissan or Citroen",Diesel,Centre,51,2827
5074,1,1.0,g,11,41,"Renault, Nissan or Citroen",Regular,Centre,821,134
5122,1,1.0,d,15,72,"Renault, Nissan or Citroen",Regular,Bretagne,229,1123
5160,1,1.0,f,3,38,"Renault, Nissan or Citroen",Diesel,Basse-Normandie,2103,1173
5183,1,1.0,e,8,66,"Opel, General Motors or Ford",Regular,Bretagne,1192,69
5200,1,1.0,h,6,45,Japanese (except Nissan) or Korean,Regular,Bretagne,473,3869
5206,1,0.75,g,7,57,"Opel, General Motors or Ford",Regular,Bretagne,229,1127
5211,1,1.0,f,2,58,"Renault, Nissan or Citroen",Diesel,Bretagne,473,425
5228,1,1.0,f,6,65,"Renault, Nissan or Citroen",Regular,Bretagne,229,1074
5244,1,0.88,e,6,52,"Volkswagen, Audi, Skoda or Seat",Regular,Bretagne,473,582
5272,1,1.0,e,5,43,"Renault, Nissan or Citroen",Regular,Pays-de-la-Loire,4128,471
5284,1,1.0,g,6,44,"Renault, Nissan or Citroen",Diesel,Basse-Normandie,77,1081
5295,1,0.72,f,7,51,"Renault, Nissan or Citroen",Regular,Ile-de-France,8884,321
5302,2,1.0,f,9,80,"Renault, Nissan or Citroen",Regular,Basse-Normandie,1284,279
5302,2,1.0,f,9,80,"Renault, Nissan or Citroen",Regular,Basse-Normandie,1284,1163
5308,1,0.24,k,7,60,"Renault, Nissan or Citroen",Regular,Bretagne,3386,91
5319,1,1.0,g,7,49,"Renault, Nissan or Citroen",Diesel,Bretagne,165,1127
5328,1,1.0,f,2,66,"Renault, Nissan or Citroen",Diesel,Bretagne,165,1113
5364,1,1.0,d,6,51,Fiat,Regular,Ile-de-France,36,64
5411,1,1.0,d,5,56,Fiat,Regular,Bretagne,461,41
5416,1,1.0,e,13,86,"Renault, Nissan or Citroen",Regular,Centre,16,1115
5434,1,0.97,f,2,79,"Renault, Nissan or Citroen",Diesel,Centre,118,2588
5447,1,0.63,e,9,36,"Opel, General Motors or Ford",Diesel,Centre,1064,1147
5459,1,1.0,e,1,54,"Mercedes, Chrysler or BMW",Diesel,Centre,3866,7688
5461,1,1.0,f,4,50,"Opel, General Motors or Ford",Diesel,Centre,282,1157
5464,1,1.0,i,12,53,other,Regular,Centre,1193,1138
5478,1,0.87,d,3,46,"Renault, Nissan or Citroen",Regular,Centre,28,1180
5492,1,0.41,i,11,29,"Mercedes, Chrysler or BMW",Diesel,Centre,3866,2925
5506,1,0.66,g,4,49,"Renault, Nissan or Citroen",Diesel,Centre,97,75
5512,1,0.7,f,10,63,"Renault, Nissan or Citroen",Diesel,Centre,1398,7833
5546,1,0.26,g,11,33,"Renault, Nissan or Citroen",Regular,Centre,374,1439
5547,1,0.73,g,17,33,"Renault, Nissan or Citroen",Regular,Centre,374,1097
5602,1,1.0,f,11,50,"Renault, Nissan or Citroen",Regular,Ile-de-France,10156,1150
5609,1,0.16,e,16,35,"Renault, Nissan or Citroen",Regular,Haute-Normandie,39,368
5621,1,0.42,f,0,50,"Volkswagen, Audi, Skoda or Seat",Diesel,Limousin,16,1079
5660,1,1.0,e,3,29,"Opel, General Motors or Ford",Regular,Bretagne,87,851
5662,1,1.0,e,4,33,"Volkswagen, Audi, Skoda or Seat",Diesel,Bretagne,1690,423
5685,1,0.37,g,0,31,"Renault, Nissan or Citroen",Regular,Bretagne,34,4886
5706,1,1.0,f,10,56,"Volkswagen, Audi, Skoda or Seat",Diesel,Bretagne,747,1413
5709,1,1.0,f,5,25,"Renault, Nissan or Citroen",Regular,Bretagne,634,666
5734,1,1.0,f,3,25,"Volkswagen, Audi, Skoda or Seat",Regular,Bretagne,39,1351
5755,1,1.0,f,3,41,"Renault, Nissan or Citroen",Diesel,Bretagne,70,565
5759,1,1.0,f,13,50,"Volkswagen, Audi, Skoda or Seat",Regular,Bretagne,50,86
5777,1,1.0,e,3,46,"Renault, Nissan or Citroen",Diesel,Ile-de-France,22669,2148
5794,1,1.0,f,7,35,"Opel, General Motors or Ford",Regular,Bretagne,51,1157
5809,1,0.43,e,5,43,"Volkswagen, Audi, Skoda or Seat",Diesel,Bretagne,133,942
5885,1,1.0,h,3,52,"Renault, Nissan or Citroen",Diesel,Centre,90,1441
5900,1,0.66,f,0,60,"Renault, Nissan or Citroen",Regular,Centre,20,1857
5924,1,0.97,g,9,47,"Renault, Nissan or Citroen",Diesel,Centre,44,51
5938,1,1.0,g,5,74,"Renault, Nissan or Citroen",Regular,Centre,78,1082
5953,1,1.0,k,11,46,other,Regular,Centre,298,7001
5974,1,0.83,d,0,76,"Renault, Nissan or Citroen",Regular,Centre,22,1132
6021,1,1.0,g,5,73,"Renault, Nissan or Citroen",Regular,Centre,81,61
6132,1,0.76,e,2,27,"Volkswagen, Audi, Skoda or Seat",Diesel,Bretagne,255,63
6137,1,0.56,j,3,30,"Opel, General Motors or Ford",Diesel,Centre,614,151
6218,1,1.0,e,4,67,"Renault, Nissan or Citroen",Regular,Centre,126,696
6225,1,0.31,f,13,50,"Renault, Nissan or Citroen",Diesel,Centre,29,351
6246,2,1.0,f,6,23,"Renault, Nissan or Citroen",Diesel,Centre,61,1131
6246,2,1.0,f,6,23,"Renault, Nissan or Citroen",Diesel,Centre,61,1084
6271,1,0.09,f,13,33,Fiat,Regular,Centre,67,26929
6286,1,1.0,h,13,46,"Renault, Nissan or Citroen",Diesel,Centre,170,1082
6287,1,1.0,d,4,50,"Renault, Nissan or Citroen",Regular,Centre,50,287
6318,1,1.0,e,2,54,"Renault, Nissan or Citroen",Diesel,Centre,13,423
6416,1,0.55,g,16,74,"Renault, Nissan or Citroen",Regular,Centre,67,1077
6465,1,0.7,e,10,20,"Renault, Nissan or Citroen",Regular,Centre,5,1159
6481,1,0.6,f,9,20,"Renault, Nissan or Citroen",Diesel,Centre,16,4810
6512,1,1.0,g,5,29,"Renault, Nissan or Citroen",Diesel,Centre,67,79
6519,1,1.0,f,6,63,"Renault, Nissan or Citroen",Diesel,Centre,13,1016
6532,2,0.84,g,9,24,"Renault, Nissan or Citroen",Regular,Centre,295,602
6532,2,0.84,g,9,24,"Renault, Nissan or Citroen",Regular,Centre,295,2699
6598,1,0.54,d,19,38,"Renault, Nissan or Citroen",Regular,Centre,50,1147
6652,1,0.79,g,4,42,"Renault, Nissan or Citroen",Regular,Limousin,213,1410
6660,1,0.87,f,6,43,"Renault, Nissan or Citroen",Diesel,Limousin,64,1125
6666,1,0.78,d,9,31,"Renault, Nissan or Citroen",Diesel,Limousin,213,2047
6670,2,1.0,d,6,54,"Renault, Nissan or Citroen",Diesel,Limousin,10,1078
6670,2,1.0,d,6,54,"Renault, Nissan or Citroen",Diesel,Limousin,10,1099
6679,1,0.5,e,11,61,"Volkswagen, Audi, Skoda or Seat",Regular,Limousin,23,498
6683,1,0.81,d,14,77,"Renault, Nissan or Citroen",Regular,Pays-de-la-Loire,451,1729
6688,1,0.2,h,13,27,"Renault, Nissan or Citroen",Regular,Limousin,213,351
6711,1,1.0,f,11,45,Fiat,Diesel,Limousin,23,681
6720,1,0.98,g,12,52,"Renault, Nissan or Citroen",Regular,Limousin,213,1158
6730,1,0.78,e,8,33,"Opel, General Motors or Ford",Regular,Limousin,25,539
6734,1,0.7,n,12,29,"Mercedes, Chrysler or BMW",Regular,Limousin,27,402
6743,1,0.28,g,4,27,Fiat,Regular,Ile-de-France,10068,1232
6747,1,1.0,i,10,48,"Renault, Nissan or Citroen",Diesel,Limousin,22,240
6750,1,1.0,e,14,38,Fiat,Regular,Limousin,213,1134
6760,1,0.76,g,10,27,Fiat,Regular,Pays-de-la-Loire,208,1100
6762,1,0.89,g,5,37,"Renault, Nissan or Citroen",Diesel,Limousin,10,106
6881,1,1.0,j,2,58,"Renault, Nissan or Citroen",Regular,Centre,4116,1189
6927,1,1.0,f,14,75,"Renault, Nissan or Citroen",Diesel,Pays-de-la-Loire,42,1127
6933,1,0.65,f,1,34,"Volkswagen, Audi, Skoda or Seat",Diesel,Limousin,1729,1158
6964,1,0.81,e,2,38,"Renault, Nissan or Citroen",Regular,Pays-de-la-Loire,4128,580
7003,1,1.0,j,9,46,"Renault, Nissan or Citroen",Diesel,Pays-de-la-Loire,92,984
7006,1,0.19,f,8,35,"Renault, Nissan or Citroen",Diesel,Pays-de-la-Loire,3541,1211
7011,1,1.0,d,6,22,"Opel, General Motors or Ford",Regular,Pays-de-la-Loire,51,1098
7039,1,0.62,i,6,33,"Renault, Nissan or Citroen",Regular,Pays-de-la-Loire,64,237
7061,1,0.8,e,4,31,"Volkswagen, Audi, Skoda or Seat",Diesel,Pays-de-la-Loire,91,160
7100,1,0.5,f,8,34,"Renault, Nissan or Citroen",Diesel,Pays-de-la-Loire,84,1662
7115,1,0.16,d,13,47,"Renault, Nissan or Citroen",Regular,Pays-de-la-Loire,405,1109
7147,1,1.0,f,6,34,"Renault, Nissan or Citroen",Diesel,Pays-de-la-Loire,31,1114
7167,1,0.81,e,11,28,Fiat,Regular,Ile-de-France,6736,1103
7184,1,0.26,e,14,35,"Renault, Nissan or Citroen",Diesel,Pays-de-la-Loire,295,1126
7204,1,1.0,d,1,46,Japanese (except Nissan) or Korean,Regular,Pays-de-la-Loire,44,1132
7217,1,0.75,g,13,45,"Renault, Nissan or Citroen",Regular,Pays-de-la-Loire,78,1116
7238,1,0.26,f,10,45,"Renault, Nissan or Citroen",Regular,Limousin,22,1189
7299,1,1.0,i,9,53,"Volkswagen, Audi, Skoda or Seat",Regular,Pays-de-la-Loire,65,117
7313,1,1.0,g,10,19,Fiat,Regular,Pays-de-la-Loire,40,1155
7348,1,0.79,e,10,44,"Opel, General Motors or Ford",Diesel,Poitou-Charentes,2694,41
7388,1,0.35,g,0,52,"Volkswagen, Audi, Skoda or Seat",Diesel,Aquitaine,101,97
7404,1,1.0,g,4,40,"Renault, Nissan or Citroen",Diesel,Centre,17,308
7452,1,0.42,f,6,29,"Volkswagen, Audi, Skoda or Seat",Diesel,Centre,41,4506
7464,1,0.83,e,9,29,"Renault, Nissan or Citroen",Diesel,Centre,42,2409
7468,1,1.0,j,5,26,"Opel, General Motors or Ford",Regular,Centre,192,559
7496,1,1.0,d,11,54,"Renault, Nissan or Citroen",Regular,Centre,192,1122
7571,1,0.69,f,1,70,"Renault, Nissan or Citroen",Regular,Centre,115,2449
7600,1,1.0,f,4,43,other,Diesel,Centre,51,3368
7601,1,0.71,d,11,51,"Renault, Nissan or Citroen",Diesel,Centre,41,1812
7608,1,0.96,d,8,51,"Renault, Nissan or Citroen",Regular,Centre,26,5846
7612,1,0.89,f,2,47,"Renault, Nissan or Citroen",Diesel,Centre,30,1096
7620,1,0.57,d,18,23,"Renault, Nissan or Citroen",Regular,Centre,3866,1106
7644,1,1.0,d,15,48,"Renault, Nissan or Citroen",Regular,Centre,42,1127
7691,1,0.46,e,12,19,"Volkswagen, Audi, Skoda or Seat",Diesel,Centre,43,1098
7729,1,0.34,g,12,58,"Renault, Nissan or Citroen",Diesel,Centre,222,1156
7743,1,0.43,e,10,31,Fiat,Diesel,Centre,222,2688
7793,1,1.0,e,1,61,"Renault, Nissan or Citroen",Diesel,Centre,53,1182
7822,1,0.06,j,8,34,Japanese (except Nissan) or Korean,Regular,Centre,186,1110
7845,1,0.31,d,2,29,"Renault, Nissan or Citroen",Regular,Ile-de-France,27000,1136
7859,1,1.0,h,13,32,"Renault, Nissan or Citroen",Regular,Pays-de-la-Loire,380,51
7876,1,1.0,f,17,32,"Opel, General Motors or Ford",Regular,Centre,1064,1085
7906,1,0.96,f,17,43,"Volkswagen, Audi, Skoda or Seat",Regular,Centre,82,1113
7918,1,0.1,f,6,28,"Renault, Nissan or Citroen",Diesel,Centre,741,3769
7920,1,0.87,e,2,28,"Renault, Nissan or Citroen",Diesel,Centre,741,341
7929,1,0.47,e,11,30,"Renault, Nissan or Citroen",Regular,Centre,741,1096
7974,1,0.3,g,5,54,"Renault, Nissan or Citroen",Diesel,Centre,335,1460
