"IDpol","ClaimAmount","ClaimNb","Exposure","VehPower","VehAge","DrivAge","BonusMalus","VehBrand","VehGas","Area","Density","Region"
7330,647.34,1,0.21,4,3,36,100,"B1","Regular","E",2537,"Nord-Pas-de-Calais"
7465,2101.04,1,0.26,15,10,36,50,"B12","Regular","C",256,"Rhone-Alpes"
7489,74.23,1,0.38,7,2,33,100,"B2","Diesel","E",5460,"Ile-de-France"
7652,2767.64,1,0.35,6,0,73,58,"B12","Regular","E",4762,"Provence-Alpes-Cotes-D'Azur"
7655,734.81,1,0.36,5,0,53,64,"B12","Regular","C",102,"Provence-Alpes-Cotes-D'Azur"
7741,626.68,1,0.26,6,2,56,50,"B12","Diesel","B",97,"Pays-de-la-Loire"
7757,742.73,1,0.35,10,1,54,66,"B12","Regular","A",20,"Rhone-Alpes"
7779,79.86,1,0.24,8,4,28,68,"B12","Regular","D",824,"Languedoc-Roussillon"
7924,746.84,1,0.26,6,3,45,50,"B12","Regular","E",2618,"Picardie"
8077,72.93,1,0.33,7,9,49,50,"B12","Diesel","C",330,"Provence-Alpes-Cotes-D'Azur"
8092,712.13,1,0.25,4,0,31,60,"B12","Regular","D",653,"Rhone-Alpes"
8652,564.45,1,0.25,10,1,56,50,"B12","Regular","C",159,"Languedoc-Roussillon"
8912,1449.64,1,0.12,7,0,75,50,"B12","Regular","E",6902,"Lorraine"
9501,1037.95,1,0.19,4,0,51,50,"B12","Regular","C",100,"Poitou-Charentes"
9589,1181.77,1,0.14,5,0,60,50,"B12","Regular","F",12750,"Ile-de-France"
9954,1284.45,1,0.14,4,7,78,62,"B6","Regular","D",1541,"Languedoc-Roussillon"
9993,1826.34,1,0.2,7,4,22,100,"B5","Regular","B",53,"Bourgogne"
10175,343.21,1,0.12,5,0,25,72,"B12","Regular","D",515,"Poitou-Charentes"
10741,6241.73,1,0.07,10,10,24,80,"B12","Regular","B",72,"Aquitaine"
16650,1128.12,1,1,8,9,56,50,"B6","Diesel","C",272,"Aquitaine"
16661,1626.6,1,1,7,1,63,50,"B1","Diesel","D",1062,"Auvergne"
16712,109.38,1,0.5,5,4,42,50,"B1","Regular","C",361,"Haute-Normandie"
16842,1128.12,1,1,4,13,36,58,"B2","Regular","C",229,"Bretagne"
16939,3560.09,1,0.68,5,4,46,50,"B6","Regular","E",4116,"Centre"
16948,78.4,2,0.75,4,8,56,61,"B5","Regular","D",1284,"Basse-Normandie"
16948,1128.12,2,0.75,4,8,56,61,"B5","Regular","D",1284,"Basse-Normandie"
16961,1006.88,1,0.54,7,12,44,52,"B1","Regular","C",399,"Centre"
16962,1128.12,1,0.19,7,13,44,65,"B1","Regular","C",399,"Centre"
16985,1128.12,1,0.35,8,9,45,62,"B14","Diesel","C",151,"Rhone-Alpes"
17000,1021.82,1,1,6,2,73,55,"B2","Diesel","C",105,"Centre"
17006,1128.12,1,1,5,7,61,50,"B1","Regular","C",461,"Bretagne"
17023,84.3,1,1,7,8,53,50,"B1","Regular","C",121,"Centre"
17087,1128.12,1,0.19,7,0,44,50,"B1","Diesel","B",56,"Basse-Normandie"
17125,1128.12,1,1,8,7,65,62,"B3","Regular","A",44,"Centre"
17171,109.56,1,1,7,8,78,50,"B1","Regular","C",282,"Centre"
17265,1544.32,1,1,4,6,51,50,"B2","Regular","A",40,"Centre"
17279,820.58,1,1,4,8,76,52,"B6","Regular","C",405,"Centre"
17288,1128.12,1,0.59,6,1,69,50,"B1","Regular","D",741,"Centre"
17450,1128.12,1,0.99,8,9,56,50,"B1","Diesel","D",1284,"Basse-Normandie"
17520,316.62,1,1,5,1,72,50,"B1","Regular","A",48,"Centre"
17599,1700.93,1,0.39,6,10,55,50,"B2","Diesel","A",26,"Pays-de-la-Loire"
17635,1128.12,1,1,5,1,72,50,"B2","Regular","D",581,"Rhone-Alpes"
17678,1128.12,1,0.5,6,6,44,50,"B1","Diesel","B",56,"Centre"
17681,520.32,1,1,7,9,78,50,"B1","Regular","D",1284,"Basse-Normandie"
17711,69348,1,0.49,6,5,50,50,"B2","Diesel","A",48,"Bretagne"
17717,1128.12,1,1,6,6,78,50,"B1","Regular","A",43,"Poitou-Charentes"
17850,92.99,1,0.75,4,10,50,50,"B1","Diesel","C",251,"Basse-Normandie"
17948,649.46,1,1,5,10,62,50,"B1","Regular","E",2563,"Ile-de-France"
18037,1128.12,1,0.67,7,2,53,62,"B2","Regular","A",13,"Centre"
18070,258.15,1,1,6,13,48,50,"B5","Regular","C",335,"Centre"
18085,1128.12,1,1,7,6,54,50,"B2","Regular","B",66,"Centre"
18134,5468.42,1,1,15,1,73,50,"B10","Regular","A",10,"Centre"
18165,3714.99,1,0.24,7,18,51,100,"B1","Regular","D",1313,"Centre"
18179,25074.81,1,0.72,4,11,79,50,"B1","Regular","A",39,"Centre"
18301,2514.57,1,1,10,11,66,50,"B12","Diesel","E",4116,"Centre"
18417,57.77,1,0.5,5,5,53,50,"B1","Regular","B",94,"Bretagne"
18464,10.16,1,1,7,14,63,50,"B1","Regular","D",1943,"Centre"
18492,1128.12,1,1,5,9,50,50,"B5","Diesel","C",399,"Centre"
18549,1128.12,1,1,9,10,53,85,"B1","Regular","C",255,"Centre"
18698,1128.12,2,1,6,12,86,50,"B1","Regular","C",227,"Poitou-Charentes"
18698,1128.12,2,1,6,12,86,50,"B1","Regular","C",227,"Poitou-Charentes"
18718,1253,1,1,6,4,67,50,"B1","Diesel","A",18,"Centre"
18735,1128.12,1,1,5,8,56,50,"B2","Regular","E",8455,"Rhone-Alpes"
18748,1128.12,1,1,11,11,48,50,"B10","Regular","A",49,"Poitou-Charentes"
18761,367.49,1,0.93,7,14,60,50,"B2","Regular","C",295,"Centre"
18815,13.38,1,0.16,9,16,64,50,"B2","Regular","C",295,"Centre"
18840,1128.12,1,1,5,11,43,50,"B2","Diesel","A",44,"Centre"
18844,7165.1,1,1,4,4,75,50,"B2","Regular","C",385,"Centre"
18854,735.57,1,0.34,6,0,52,50,"B6","Regular","B",50,"Centre"
18869,234.15,1,0.79,7,8,43,50,"B2","Regular","A",16,"Centre"
18916,66458.9,1,0.33,10,7,49,50,"B11","Regular","B",73,"Centre"
18926,770.54,1,1,7,10,67,55,"B2","Regular","A",48,"Centre"
19064,956.84,1,1,6,9,53,50,"B2","Regular","A",24,"Centre"
19170,1128.12,1,1,12,5,51,50,"B12","Diesel","A",8,"Pays-de-la-Loire"
19190,2703.84,1,1,5,1,79,50,"B2","Regular","C",240,"Rhone-Alpes"
19195,5925.6,2,1,7,3,75,58,"B2","Regular","B",91,"Centre"
19195,4925.36,2,1,7,3,75,58,"B2","Regular","B",91,"Centre"
19220,772.17,1,1,5,9,43,50,"B4","Diesel","A",35,"Centre"
19280,1232.63,1,0.24,7,0,54,50,"B13","Diesel","E",4116,"Centre"
19326,2332.41,1,1,6,5,54,50,"B5","Regular","D",1102,"Bretagne"
19343,1128.12,1,1,6,2,80,50,"B2","Regular","C",473,"Bretagne"
19374,63.86,1,1,4,12,49,50,"B2","Regular","D",522,"Pays-de-la-Loire"
19424,1128.12,1,0.87,6,1,71,62,"B2","Diesel","C",229,"Bretagne"
19525,1128.12,1,1,4,11,86,50,"B2","Diesel","B",51,"Centre"
19548,1128.12,1,1,7,13,73,50,"B1","Regular","C",182,"Centre"
19591,679.91,1,1,8,6,69,50,"B2","Regular","C",359,"Bretagne"
19642,1057.94,1,0.74,6,4,42,50,"B2","Diesel","A",28,"Centre"
19677,240.86,1,0.98,7,6,52,50,"B1","Diesel","A",44,"Centre"
19731,1128.12,1,0.16,12,12,45,62,"B3","Regular","A",10,"Centre"
19831,1368.55,1,1,5,2,52,58,"B3","Diesel","D",1313,"Centre"
19857,504.93,1,0.75,4,15,72,50,"B1","Regular","B",57,"Centre"
19871,1128.12,1,1,7,11,87,69,"B2","Regular","C",399,"Centre"
19883,30829.41,1,1,6,2,50,68,"B2","Diesel","A",32,"Centre"
19887,1128.12,2,1,5,17,58,102,"B1","Regular","A",44,"Centre"
19887,1128.12,2,1,5,17,58,102,"B1","Regular","A",44,"Centre"
19962,1128.12,1,1,7,14,55,50,"B1","Regular","C",111,"Centre"
20001,4836.6,1,0.24,8,10,49,50,"B10","Regular","A",12,"Centre"
20012,215.84,1,1,7,5,51,50,"B1","Diesel","B",59,"Centre"
20072,500,1,1,7,7,82,50,"B1","Regular","A",27,"Centre"
20126,1189.41,1,1,9,1,62,55,"B1","Regular","B",91,"Centre"
20299,1128.12,1,1,6,6,69,50,"B3","Diesel","A",25,"Centre"
20319,402.79,1,1,8,1,45,50,"B2","Diesel","C",106,"Centre"
20324,1128.12,1,1,7,5,72,50,"B2","Regular","A",26,"Centre"
20394,795.38,1,1,5,6,46,76,"B4","Diesel","E",2007,"Ile-de-France"
20462,2163.72,1,1,11,6,42,50,"B2","Regular","B",74,"Centre"
20503,2821.16,1,1,7,5,50,50,"B1","Diesel","D",1313,"Centre"
20513,858.28,1,1,4,21,68,50,"B1","Regular","A",30,"Centre"
20558,1128.12,1,1,7,12,68,50,"B10","Regular","C",270,"Centre"
20734,1128.12,1,0.52,6,4,46,50,"B2","Diesel","B",50,"Basse-Normandie"
20761,1128.12,1,1,8,6,58,55,"B13","Diesel","D",575,"Bretagne"
20769,1128.12,1,0.99,11,8,53,77,"B13","Regular","C",165,"Bretagne"
20778,1128.12,1,1,6,5,71,76,"B2","Diesel","D",634,"Bretagne"
20867,1128.12,1,0.96,4,15,54,50,"B1","Regular","C",473,"Bretagne"
20881,3115.36,1,0.22,7,4,49,50,"B2","Diesel","E",4128,"Pays-de-la-Loire"
20918,1128.12,1,1,5,14,49,55,"B2","Regular","E",4128,"Pays-de-la-Loire"
20924,569.2,1,1,7,10,47,50,"B6","Diesel","C",122,"Basse-Normandie"
20946,716.23,1,1,5,4,71,50,"B1","Regular","B",91,"Pays-de-la-Loire"
21024,587.73,1,1,6,6,81,50,"B13","Diesel","C",112,"Centre"
21039,217.89,1,1,6,11,50,51,"B2","Regular","B",60,"Basse-Normandie"
21060,1128.12,1,0.42,6,12,42,50,"B2","Regular","C",133,"Bretagne"
21068,1721.48,1,0.96,4,11,43,50,"B1","Regular","C",196,"Basse-Normandie"
21155,10407.2,1,0.37,4,10,78,50,"B2","Diesel","A",45,"Centre"
21180,161.03,1,1,6,3,51,57,"B3","Regular","C",287,"Bretagne"
21222,1128.12,1,1,4,10,54,50,"B2","Regular","D",1182,"Rhone-Alpes"
21271,1128.12,1,1,7,14,84,50,"B13","Regular","E",9307,"Rhone-Alpes"
21292,1128.12,1,0.36,5,8,56,50,"B2","Diesel","F",27000,"Ile-de-France"
21328,1128.12,1,1,6,5,59,73,"B2","Diesel","C",270,"Nord-Pas-de-Calais"
21343,1128.12,1,0.52,7,3,51,56,"B1","Diesel","B",71,"Centre"
21357,1272.46,2,1,4,12,39,50,"B3","Diesel","A",32,"Rhone-Alpes"
21357,446.45,2,1,4,12,39,50,"B3","Diesel","A",32,"Rhone-Alpes"
21359,492.97,1,1,4,1,54,50,"B1","Regular","A",40,"Rhone-Alpes"
21432,1128.12,1,1,4,4,70,52,"B2","Diesel","C",133,"Rhone-Alpes"
21462,1152.45,1,0.22,4,5,69,50,"B1","Regular","C",473,"Bretagne"
21549,1128.12,1,1,4,10,56,54,"B5","Regular","E",3386,"Bretagne"
21575,1128.12,1,1,5,2,72,50,"B1","Regular","C",473,"Bretagne"
21602,133.39,1,1,5,1,58,64,"B3","Regular","F",27000,"Ile-de-France"
21663,1128.12,1,1,4,15,68,50,"B1","Regular","A",9,"Centre"
21701,75.32,1,1,4,8,39,50,"B4","Diesel","A",29,"Centre"
21773,1128.12,1,0.39,7,4,74,50,"B1","Diesel","C",155,"Centre"
21825,1085.44,1,0.43,5,4,53,50,"B4","Diesel","C",128,"Centre"
21846,3407.2,1,0.5,7,4,52,50,"B2","Regular","A",14,"Centre"
21856,366.4,1,1,6,2,77,50,"B1","Regular","C",399,"Centre"
21905,68.92,1,0.74,6,1,58,50,"B10","Regular","C",399,"Centre"
21940,1128.12,1,1,6,6,65,62,"B2","Diesel","A",16,"Centre"
21969,1247.73,1,1,7,11,55,90,"B1","Regular","A",30,"Centre"
21974,1128.12,1,1,5,2,76,50,"B2","Regular","A",43,"Centre"
21988,92.43,1,1,7,15,51,50,"B2","Regular","A",25,"Languedoc-Roussillon"
22044,1128.12,1,1,5,12,62,50,"B3","Diesel","C",399,"Centre"
22079,71.47,1,1,7,5,63,50,"B2","Diesel","C",192,"Centre"
22111,1128.12,1,0.71,7,3,51,55,"B3","Diesel","A",9,"Centre"
22231,1250.08,1,1,5,6,57,62,"B4","Diesel","E",4116,"Centre"
22234,1320.24,1,1,6,3,41,50,"B2","Regular","C",270,"Centre"
22289,1128.12,1,0.75,6,4,48,58,"B1","Diesel","A",13,"Pays-de-la-Loire"
22300,1957.96,1,0.77,6,1,48,50,"B2","Regular","D",1064,"Centre"
22303,66.32,1,1,9,13,44,50,"B11","Diesel","C",394,"Centre"
22350,2839.2,1,0.72,5,0,64,50,"B2","Diesel","B",51,"Centre"
22364,914.09,1,1,6,3,47,50,"B1","Diesel","A",15,"Bourgogne"
22479,139.65,1,1,7,11,41,50,"B1","Regular","D",821,"Centre"
22576,1128.12,1,1,4,15,72,50,"B2","Regular","C",229,"Bretagne"
22652,1128.12,1,1,6,3,38,50,"B1","Diesel","E",2103,"Basse-Normandie"
22695,64,1,1,5,8,66,50,"B5","Regular","D",1192,"Bretagne"
22729,3921.13,1,1,8,6,45,50,"B12","Regular","C",473,"Bretagne"
22743,1128.12,1,0.75,7,7,57,50,"B5","Regular","C",229,"Bretagne"
22752,400.15,1,1,6,2,58,50,"B1","Diesel","C",473,"Bretagne"
22787,1128.12,1,1,6,6,65,52,"B1","Regular","C",229,"Bretagne"
22816,564.06,1,0.88,5,6,52,50,"B3","Regular","C",473,"Bretagne"
22838,1128.12,1,1,7,3,56,50,"B1","Diesel","C",206,"Provence-Alpes-Cotes-D'Azur"
22870,462.01,1,1,5,5,43,50,"B2","Regular","E",4128,"Pays-de-la-Loire"
22889,1128.12,1,1,7,6,44,50,"B2","Diesel","B",77,"Basse-Normandie"
22913,304.9,1,0.72,6,7,51,50,"B1","Regular","E",8884,"Ile-de-France"
22925,1128.12,2,1,6,9,80,50,"B1","Regular","D",1284,"Basse-Normandie"
22925,264.4,2,1,6,9,80,50,"B1","Regular","D",1284,"Basse-Normandie"
22936,76.11,1,0.24,11,7,60,51,"B2","Regular","E",3386,"Bretagne"
22965,1128.12,1,1,7,7,49,67,"B2","Diesel","C",165,"Bretagne"
22984,1128.12,1,1,6,2,66,50,"B1","Diesel","C",165,"Bretagne"
23018,867.21,1,1,7,16,51,50,"B14","Diesel","C",240,"Rhone-Alpes"
23097,1128.12,1,1,5,1,45,68,"B2","Regular","C",481,"Rhone-Alpes"
23145,1128.12,1,1,6,11,69,50,"B6","Regular","E",3859,"Rhone-Alpes"
23150,538.15,1,1,7,2,72,50,"B2","Regular","D",600,"Rhone-Alpes"
23164,208.13,1,1,7,11,51,50,"B11","Regular","E",3457,"Rhone-Alpes"
23167,62.56,1,1,4,6,51,50,"B6","Regular","A",36,"Ile-de-France"
23172,1128.12,1,0.73,4,3,75,50,"B1","Regular","A",28,"Rhone-Alpes"
23236,1128.12,1,1,5,1,59,50,"B4","Regular","D",609,"Provence-Alpes-Cotes-D'Azur"
23250,79.13,1,0.89,5,6,62,50,"B1","Regular","C",141,"Rhone-Alpes"
23325,42.76,1,1,4,5,56,50,"B6","Regular","C",461,"Bretagne"
23336,1128.12,1,1,5,13,86,58,"B2","Regular","A",16,"Centre"
23370,2564.57,1,0.97,6,2,79,50,"B2","Diesel","C",118,"Centre"
23397,1128.12,1,0.63,5,9,36,50,"B5","Diesel","D",1064,"Centre"
23422,7622.45,1,1,5,1,54,50,"B10","Diesel","E",3866,"Centre"
23427,1128.12,1,1,6,4,50,50,"B5","Diesel","C",282,"Centre"
23433,1128.12,1,1,9,12,53,50,"B14","Regular","D",1193,"Centre"
23459,1128.12,1,0.87,4,3,46,50,"B2","Regular","A",28,"Centre"
23489,3000,1,0.41,9,11,29,60,"B10","Diesel","E",3866,"Centre"
23514,84.09,1,0.66,7,4,49,50,"B2","Diesel","B",97,"Centre"
23528,7902.51,1,0.7,6,10,63,50,"B1","Diesel","D",1398,"Centre"
23586,1472.37,1,0.26,7,11,33,50,"B1","Regular","C",374,"Centre"
23587,1128.12,1,0.73,7,17,33,77,"B1","Regular","C",374,"Centre"
23692,1128.12,1,1,6,11,50,50,"B1","Regular","F",10156,"Ile-de-France"
23707,389.21,1,0.16,5,16,35,68,"B2","Regular","A",39,"Haute-Normandie"
23730,1128.12,1,0.42,6,0,50,50,"B3","Diesel","A",16,"Limousin"
23891,803.14,1,1,5,3,29,76,"B5","Regular","B",87,"Bretagne"
23895,405.91,1,1,5,4,33,51,"B3","Diesel","D",1690,"Bretagne"
23945,4817.74,1,0.37,7,0,31,83,"B2","Regular","A",34,"Bretagne"
23980,1387.24,1,1,6,10,56,61,"B3","Diesel","D",747,"Bretagne"
23985,672.48,1,1,6,5,25,80,"B1","Regular","D",634,"Bretagne"
24032,1377.95,1,1,6,3,25,76,"B3","Regular","A",39,"Bretagne"
24072,564.06,1,1,6,3,41,50,"B2","Diesel","B",70,"Bretagne"
24081,97.13,1,1,6,13,50,50,"B3","Regular","A",50,"Bretagne"
24110,2174.7,1,1,5,3,46,50,"B1","Diesel","F",22669,"Ile-de-France"
24144,1128.12,1,1,6,7,35,68,"B4","Regular","B",51,"Bretagne"
24169,963.35,1,0.43,5,5,43,90,"B3","Diesel","C",133,"Bretagne"
24313,1491.02,1,1,8,3,52,55,"B2","Diesel","B",90,"Centre"
24346,1865.73,1,0.66,6,0,60,50,"B1","Regular","A",20,"Centre"
24388,55.96,1,0.97,7,9,47,50,"B2","Diesel","A",44,"Centre"
24415,1128.12,1,1,7,5,74,52,"B2","Regular","B",78,"Centre"
24445,7083.38,1,1,11,11,46,62,"B13","Regular","C",298,"Centre"
24478,1128.12,1,0.83,4,0,76,50,"B1","Regular","A",22,"Centre"
24569,50.46,1,1,7,5,73,82,"B2","Regular","B",81,"Centre"
24771,57.74,1,0.76,5,2,27,74,"B3","Diesel","C",255,"Bretagne"
24783,135.7,1,0.56,10,3,30,64,"B4","Diesel","D",614,"Centre"
24936,700,1,1,5,4,67,50,"B1","Regular","C",126,"Centre"
24951,364.81,1,0.31,6,13,50,50,"B2","Diesel","A",29,"Centre"
24992,1128.12,2,1,6,6,23,112,"B2","Diesel","B",61,"Centre"
24992,1128.12,2,1,6,6,23,112,"B2","Diesel","B",61,"Centre"
25040,26665.92,1,0.09,6,13,33,80,"B6","Regular","B",67,"Centre"
25068,1128.12,1,1,8,13,46,50,"B1","Diesel","C",170,"Centre"
25071,273.88,1,1,4,4,50,60,"B1","Regular","B",50,"Centre"
25130,431.18,1,1,5,2,54,50,"B2","Diesel","A",13,"Centre"
25313,1128.12,1,0.55,7,16,74,62,"B1","Regular","B",67,"Centre"
25395,1128.12,1,0.7,5,10,20,95,"B1","Regular","A",5,"Centre"
25421,4749.75,1,0.6,6,9,20,147,"B2","Diesel","A",16,"Centre"
25472,84.97,1,1,7,5,29,50,"B1","Diesel","B",67,"Centre"
25489,1009.69,1,1,6,6,63,50,"B2","Diesel","A",13,"Centre"
25509,2673.31,2,0.84,7,9,24,112,"B2","Regular","C",295,"Centre"
25509,619.71,2,0.84,7,9,24,112,"B2","Regular","C",295,"Centre"
25633,1128.12,1,0.54,4,19,38,50,"B1","Regular","B",50,"Centre"
25729,1393.49,1,0.79,7,4,42,50,"B1","Regular","C",213,"Limousin"
